   Vx       Vy       Vz      |V|    
-399.18   -8.69    25.83    400.11 
-399.18   -8.69    25.83    400.11 
-399.77   -3.07    37.04    401.49 
-398.98   -1.63    39.68    400.95 
-398.20   -0.19    42.31    400.44 
-397.41    1.25    44.94    399.94 
-396.62    2.69    47.58    399.47 
-396.62    2.69    47.58    399.47 
-396.62    2.69    47.58    399.47 
-396.62    2.69    47.58    399.47 
-397.55   -3.28    51.15    400.84 
-396.83   -3.49    48.35    399.78 
-396.10   -3.70    45.55    398.73 
-395.38   -3.91    42.75    397.70 
-394.66   -4.12    39.95    396.70 
-394.31   -3.19    41.26    396.48 
-393.96   -2.27    42.58    396.26 
-393.61   -1.34    43.90    396.05 
-393.26   -0.42    45.22    395.85 
-393.26   -0.42    45.22    395.85 
-393.26   -0.42    45.22    395.85 
-393.26   -0.42    45.22    395.85 
-397.03   -1.39    38.91    398.93 
-396.27    0.38    40.41    398.33 
-395.50    2.14    41.90    397.72 
-394.74    3.91    43.39    397.14 
-393.97    5.67    44.89    396.56 
-392.63    7.92    48.21    395.66 
-391.29   10.17    51.54    394.80 
-389.95   12.41    54.86    393.99 
-388.62   14.66    58.19    393.23 
-388.55   11.97    57.55    392.97 
-388.49    9.27    56.91    392.75 
-388.43    6.58    56.27    392.54 
-388.36    3.88    55.62    392.34 
-388.36    3.88    55.62    392.34 
-388.36    3.88    55.62    392.34 
-388.36    3.88    55.62    392.34 
-389.43    6.41    52.90    393.06 
-389.43    6.41    52.90    393.06 
-389.43    6.41    52.90    393.06 
-389.43    6.41    52.90    393.06 
-396.67   -3.93    48.70    399.67 
-396.67   -3.93    48.70    399.67 
-396.67   -3.93    48.70    399.67 
-396.67   -3.93    48.70    399.67 
-402.90   -3.15    48.82    405.86 
-400.40   -2.64    49.71    403.48 
-397.90   -2.13    50.59    401.11 
-395.39   -1.61    51.48    398.73 
-392.89   -1.10    52.37    396.37 
-392.89   -1.10    52.37    396.37 
-392.89   -1.10    52.37    396.37 
-392.89   -1.10    52.37    396.37 
-396.77   -5.78    46.16    399.49 
-393.80   -3.28    46.63    396.56 
-390.82   -0.78    47.11    393.65 
-387.84    1.72    47.58    390.75 
-384.87    4.22    48.05    387.88 
-384.87    4.22    48.05    387.88 
-384.87    4.22    48.05    387.88 
-384.87    4.22    48.05    387.88 
-412.54   -5.22    40.09    414.52 
-408.65   -2.30    41.26    410.73 
-404.75    0.61    42.42    406.97 
-400.86    3.53    43.59    403.24 
-396.96    6.45    44.75    399.53 
-396.96    6.45    44.75    399.53 
-396.96    6.45    44.75    399.53 
-396.96    6.45    44.75    399.53 
-400.35    2.12    41.07    402.46 
-400.35    2.12    41.07    402.46 
-400.35    2.12    41.07    402.46 
-400.35    2.12    41.07    402.46 
-401.94    5.29    36.35    403.62 
-401.94    5.29    36.35    403.62 
-401.94    5.29    36.35    403.62 
-401.94    5.29    36.35    403.62 
-401.42   -9.98    53.86    405.14 
-401.30   -7.98    51.99    404.73 
-401.19   -5.99    50.11    404.35 
-401.08   -3.99    48.24    403.99 
-400.97   -2.00    46.37    403.65 
-400.85   -0.00    44.50    403.31 
-400.74    1.99    42.62    403.00 
-400.63    3.99    40.75    402.72 
-400.52    5.98    38.88    402.45 
-400.21    5.96    38.05    402.06 
-399.91    5.93    37.23    401.68 
-399.60    5.90    36.40    401.30 
-399.30    5.88    35.57    400.92 
-399.30    5.88    35.57    400.92 
-399.30    5.88    35.57    400.92 
-399.30    5.88    35.57    400.92 
-400.23    8.18    41.53    402.46 
-399.44    8.96    41.17    401.66 
-398.66    9.74    40.81    400.86 
-397.87   10.52    40.45    400.06 
-397.08   11.30    40.09    399.26 
-397.08   11.30    40.09    399.26 
-397.08   11.30    40.09    399.26 
-397.08   11.30    40.09    399.26 
-399.99    6.56    40.66    402.10 
-398.27    6.31    40.44    400.37 
-396.54    6.05    40.23    398.62 
-394.82    5.79    40.01    396.88 
-393.10    5.54    39.80    395.15 
-393.10    5.54    39.80    395.15 
-393.10    5.54    39.80    395.15 
-393.10    5.54    39.80    395.15 
-393.77    8.69    34.57    395.38 
-393.60    8.16    35.86    395.31 
-393.42    7.64    37.16    395.24 
-393.25    7.11    38.46    395.19 
-393.07    6.59    39.75    395.13 
-392.55    7.33    38.84    394.53 
-392.02    8.07    37.92    393.93 
-391.49    8.81    37.01    393.33 
-390.96    9.55    36.09    392.74 
-390.96    9.55    36.09    392.74 
-390.96    9.55    36.09    392.74 
-390.96    9.55    36.09    392.74 
-395.35    6.03    40.31    397.45 
-394.38    6.38    40.55    396.51 
-393.42    6.73    40.78    395.59 
-392.45    7.08    41.02    394.65 
-391.49    7.43    41.26    393.73 
-390.25    9.16    40.70    392.47 
-389.02   10.88    40.13    391.24 
